Place,Type,Lat_A1,Long_A1,Colour
Royal Infirmary of Edinburgh,Hospital,55.92137,-3.13415,yellow
Victoria Hospital Kirkaldy,Hospital,56.12419,-3.15814,yellow
Borders General Hospital,Hospital,55.59573,-2.74245,yellow
Spire Murrayfield Hospital,Hospital,55.94431,-3.26628,yellow
Western General Hospital,Hospital,55.9634,-3.23521,yellow
St John's Hospital,Hospital,55.89211,-3.52319,yellow
Astley Ainslie ospital,Hospital,55.92982,-3.19899,yellow
Royal Edinburgh Hospital,Hospital,55.9276,-3.21384,yellow
Forth Valley Hospital,Hospital,56.025626,-3.84879,yellow
East Lothian Community Hospital,Hospital,55.95728,-2.79823,yellow
